Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
311,QunQun,QUN,24837766.78,0.0710936,349367127,9240810,-1.04,10.21,-3.39
312,BlockMason Cr...,BCPT,24706317.9,0.547009,45166200,752974,0.02,16.94,-10.71
313,AirToken,AIR,23957010,0.0228162,1050000000,514698,1.48,42,3.33
314,Game.com,GTC,23938650,0.0797955,300000000,1136620,0.19,15.78,-19.56
315,Aeron,ARN,23934690,1.84113,13000000,977400,0.75,13.24,1.23
316,Soarcoin,SOAR,23885867.14,0.0241801,987831611,31918,-0.99,13.5,3.25
317,Boolberry,BBR,23726816.43,2.14537,11059545.17,20041.9,-1.07,25.06,-7.33
318,CanYaCoin,CAN,23563734.64,0.639452,36849888.09,331825,0.44,1.53,-18.72
319,Xenon,XNN,23360460,0.0778682,300000000,1099.4,-1.03,48.79,42.78
320,EncrypGen,DNA,23073993.57,0.369258,62487457.46,126549,-3.54,6.8,-17.28
321,NuShares,NSR,22934343.91,0.00825689,2777600756,8723.44,29.4,44.18,5.19
322,Peerplays,PPY,22768860.26,5.75713,3954897.712,661.826,-1,-3.44,-1.61
323,Swarm City,SWT,22519573,2.79781,8049000.112,4252760,0.08,25.15,17.34
324,Covesting,COV,22453900,1.28308,17500000,54747.7,-2.74,10.05,-15.14
325,Mothership,MSP,22367940,0.159771,140000000,223916,-0.87,-0.94,-14.54
326,HelloGold,HGT,22295264.44,0.0847617,263034654.1,47573.3,0.26,12.14,-9.11
327,BitConnect,BCC,22256684.32,2.41476,9216934.319,180651,1.1,8.65,-62.23
328,Universal Cur...,UNIT,21659246.99,1.67226,12952081.01,62732.7,-0.65,12.11,28.22
329,Numeraire,NMR,21607241.06,16.686,1294932.342,253146,-0.44,10.2,-5.24
330,Radium,RADS,21522381.43,6.24139,3448331.45,251097,-2.19,13.39,-1.86
331,NewYorkCoin,NYC,21391705.71,0.000161831,1.32E+11,32017,1.03,51.13,45.78
332,Open Trading ...,OTN,21180596.57,5.89598,3592379.31,63460.6,-2.38,12.14,-28.56
333,GET Protocol,GET,21113964.04,2.03324,10384393.4,10210,-0.58,41.69,62.1
334,Omni,OMNI,21108463.81,37.655,560575.3237,82552.9,-0.53,15.9,-0.22
335,OKCash,OK,20897687.66,0.283431,73731129.14,548538,-0.77,15.07,-4.24
336,Snovio,SNOV,20890054.55,0.0515802,405001426,734495,-1.28,23.29,-6.95
337,Stox,STX,20822228.31,0.494156,42136953.33,781308,0.06,11.52,-11.98
338,SolarCoin,SLR,20659384.86,0.530079,38974162.08,198085,-1.14,6.24,-10.33
339,Zoin,ZOI,20632205,1.24,16638875,359155,0.51,32.99,5.86
340,Hacken,HKN,20582053.89,5.53852,3716164.948,182916,-0.9,37.23,49.45
341,Myriad,XMY,20042392.58,0.0129204,1551220750,201681,0.45,22.2,3.14
342,Rubycoin,RBY,19973535.43,0.789811,25289006.39,22555.3,-1.46,19.25,7.82
343,MonetaryUnit,MUE,19840519.92,0.159622,124296900.9,124858,-2.91,12.52,-8.38
344,CoinMeet,MEE,19837996.2,0.102825,192929698,5171210,-2.6,37.35,-5.11
345,Profile Utili...,PUT,19788962.74,0.945784,20923342.69,3653880,-1.07,14.37,-28.38
346,Uquid Coin,UQC,19444700,1.94447,10000000,192213,-1.12,14.5,25.73
347,eBitcoin,EBTC,19224235.25,1.01731,18897126,310296,1.69,8.53,4.78
348,Bounty0x,BNTY,19222006.55,0.156437,122873786.6,383232,-3.24,15.48,-2.19
349,BitDice,CSNO,19219970,0.274571,70000000,54512.2,-1,25.7,5.33
350,Energycoin,ENRG,19120489.98,0.157214,121620784.3,32836.4,0.42,11.69,13.08
351,Waves Communi...,WCT,18877192.44,1.89272,,138187,-8.83,21.53,-2.54
352,OAX,OAX,18849821.54,0.753714,25009249.58,404322,-1.37,12.71,-6.52
353,LoMoCoin,LMC,18791240.01,0.0832465,225730090.9,115166,0.53,20.07,8.25
354,KickCoin,KICK,18552065.45,0.0577698,321137782.3,314902,-1.59,10.98,5.13
355,OracleChain,OCT,18400800,0.61336,30000000,67697,1.05,15.12,-5.72
356,Golos,GOLOS,18385836.92,0.147655,124518891.4,96061.3,-1.81,9,-23.38
357,Etheroll,DICE,18343901.26,2.61995,7001622.649,87018.6,1.16,11.53,6.12
358,Aurora DAO,AURA,18286400,0.182864,100000000,26743.6,-0.56,16.14,19.95
359,BitSend,BSD,18143916.22,1.00078,18129775,381685,-1.32,12.09,8.37
360,Oxycoin,OXY,17913992.57,0.187464,95559641.14,8178.37,-0.82,7.46,9.13
361,Viuly,VIU,17911118.25,0.0289701,618262217,1805970,-3.29,21.08,-16.47
362,Clams,CLAM,17728003.51,6.1942,2862032.791,155568,-1.54,13.41,8.06
363,GoByte,GBX,17698855.81,24.5956,719594.3913,317319,-2.33,4.5,15.43
364,Nexium,NXC,17593813.56,0.264485,66521026,58344.2,-1.52,16.92,0.88
365,Polybius,PLBT,17591746.82,4.60402,3820953.606,51896.6,2.16,11.91,4.09
366,Gambit,GAM,17517837.04,14.5948,1200279.349,20435.2,-6.5,9.46,3.77
367,Primas,PST,17496934.4,0.341737,51200000,312168,-3.67,7.46,-14.89
368,LUXCoin,LUX,17410363.02,17.1145,1017287.272,429183,-1.14,19.24,-5.97
369,Blackmoon,BMC,17403806.42,0.830918,20945275.49,533689,0.23,5.05,-2.02
370,Unity Ingot,UNY,17275019.8,0.0855199,202000000,5976220,8.01,668.9,3228.73
371,ALIS,ALIS,17217950.34,0.446771,38538648.09,33588.8,-1.62,7.77,8.15
372,LockChain,LOC,17057517.88,1.83553,9292966,131339,-8.49,21.21,28.74
373,NeosCoin,NEOS,17055424.94,4.62654,3686431.965,111106,-3.33,7.41,-4.32
374,Circuits of V...,COVAL,16917100,0.0169171,1000000000,326583,1.67,20.47,49.46
375,Xaurum,XAUR,16913868.99,0.133039,127134667.2,100667,-1.18,9.73,-6.32
376,ATBCoin,ATB,16879278.11,0.412572,40912321.02,2733980,-0.47,11.65,17.68
377,DecentBet,DBET,16765397.9,0.160366,104544591.1,18618.4,-1.03,1.47,-16.78
378,ProChain,PRA,16728978.18,0.360164,46448224.09,765791,-0.03,8.38,-14.52
379,bitUSD,BITUSD,16709556.75,1.13332,14743900,2464410,-0.3,-0.24,12.41
380,Voise,VOISE,16458200.06,0.0329898,498887536.7,1010130,-1.24,26.99,-14.03
381,Primecoin,XPM,16430320.36,0.732395,22433687.23,123658,-2.27,24.15,-1.8
382,Paragon,PRG,16419093.8,0.252848,64936617.25,108349,-0.35,12.25,-20.02
383,BLUE,BLUE,16408619.66,0.447769,36645278.39,41364.8,-2.04,3.75,-10.04
384,Hedge,HDG,16290663.9,4.3914,3709674.34,36007,-0.83,10.07,-8.7
385,Rivetz,RVT,16271727.74,0.620006,26244468.18,7458.05,-0.99,4.63,-17.27
386,Ecobit,ECOB,16201244.44,0.0364528,,3677.75,-1.1,9.75,-6.74
387,Auroracoin,AUR,16006561.56,1.84873,8658139.136,129375,-0.98,16.98,10.69
388,Databits,DTB,15860522.76,0.697233,22747808.5,35578.8,1.31,8.75,2.88
389,FlorinCoin,FLO,15803600.22,0.111389,141877566.2,382667,-1.3,27.63,4.34
390,Chronobank,TIME,15604871.04,21.9752,710112.8108,247927,-0.75,8.88,3.3
391,FoldingCoin,FLDC,15570904.38,0.0271028,574512758,114683,-2.16,11.53,7.78
392,Mintcoin,MINT,15467276.75,0.000619999,24947260808,44945.8,-0.99,30.11,7.75
393,Quantum,QAU,15408811.5,0.202505,76091017.53,10256.8,-1.27,19.33,16.9
394,ClearPoll,POLL,15289030.34,2.18415,6999991,364964,5.15,19.5,8.5
395,Aventus,AVT,15096420,2.51607,6000000,369237,-1,5.9,3.54
396,OneRoot Network,RNT,15041488.28,0.0810855,185501578.9,254234,0.4,8.81,-6.67
397,Neutron,NTRN,14995306.34,0.442856,33860456.54,38519.7,6.99,35.29,6.12
398,AICHAIN,AIT,14896137.5,0.0769684,193535756.2,124727,4.03,16.43,-2.1
399,Blockport,BPT,14791496.98,0.298238,49596285.45,96242,-5.68,6.79,-11.34
400,Patientory,PTOY,14768040,0.210972,70000000,1635710,-1.13,15.98,-3
401,DubaiCoin,DBIX,14747957.38,7.27552,2027065.747,85335.7,-1.74,8.76,-10.44
402,ICOS,ICOS,14727867.68,25.3209,581648.6651,236843,-1.2,7.17,-6.48
403,PRIZM,PZM,14639573.18,1.00715,14535643.33,13421.3,-0.71,7.52,19.6
404,Pandacoin,PND,14451579.96,0.00044446,32514916898,20610.7,0.58,5.4,4.46
405,E-Dinar Coin,EDR,14445787.13,0.0163006,886211987.7,27210.8,-0.09,14.64,39.35
406,Obsidian,ODN,14422300,0.576892,25000000,64555.4,-0.13,22.28,4.39
407,Exchange Union,XUC,14221440,7.11072,2000000,418403,-0.19,7.43,-4.68
408,Divi,DIVX,14198761.23,2.76079,5143006.615,65784,-1.07,10.61,8.04
409,Pirl,PIRL,14181647.49,1.45031,9778356,85620.5,-2.02,7.1,-1.14
410,Gatcoin,GAT,14064695.28,0.0265441,529861448.7,92401.5,-1.63,-3.48,-29.55
411,InvestFeed,IFT,13947081.35,0.0728759,191381257,24941.8,0.74,3.63,-16.43
412,Dai,DAI,13840156.62,0.997717,13871826,1223190,-0.29,-0.72,-1.15
413,LIFE,LIFE,13629376.21,0.000983816,13853582588,59952.2,-15.61,-10.83,-24.94
414,Syndicate,SYNX,13582688.05,0.746156,18203550,1818250,0.95,13.39,-1.27
415,Pluton,PLU,13504452.06,15.8876,849999.5,30988.8,-0.85,17.43,-19.55
416,Elixir,ELIX,13386299.89,0.430409,31101347.54,112257,-0.85,11.33,3.6
417,Mysterium,MYST,13280048.92,0.683516,19429024.22,174257,-0.6,9.36,15.22
418,Linda,LINDA,13215890.03,0.00220139,6003429666,144629,-0.53,15.37,-0.28
419,Incent,INCNT,13167282.53,0.286142,46016602,52388.1,-0.65,11.8,3.07
420,bitqy,BQ,13157101.28,0.00451624,2913286557,1230.38,-0.99,2.13,-2.1
421,Russian Miner...,RMC,13137212.22,8717.46,1507,23968,-1,1.75,1.93
422,Musicoin,MUSIC,12971134.37,0.0214518,604664148,92093.5,-1.36,11.85,-0.81
423,SportyCo,SPF,12965680.67,0.254568,50932091.5,902985,2.03,19.31,-14.08
424,Hackspace Cap...,HAC,12925292.06,0.0398549,324308731.3,386410,-0.99,13.87,2.63
425,Polis,POLIS,12885780.92,15.9439,808195.0412,162058,-1.34,15.72,14.33
426,Solaris,XLR,12794881.4,12.8277,997441.5832,88983.4,-8.73,11.16,-11.4
427,Global Curren...,GCR,12741663.69,0.122868,103702051.7,81418.5,-5.78,12.24,-0.51
428,Bitcrystals,BCY,12453615.44,0.537152,23184527.73,174679,-0.54,13.89,7.67
429,Flixxo,FLIXX,12404997.32,0.166515,74497776.87,34958.9,-1.77,10.88,0.6
430,Change,CAG,12209857.85,0.329019,37109886.82,1457480,3.25,9.83,-0.72
431,OBITS,OBITS,12193334,0.777904,15674599.95,26531.2,-3.15,6.44,-6.92
432,Internet of P...,IOP,12191046.61,3.69945,3295367.315,530518,6.53,21.36,9.47
433,Stealthcoin,XST,12107139.08,0.431249,28074590.51,34660.3,-0.57,16.75,15.02
434,BlockCAT,CAT,12060588.86,1.63864,7360121.112,38347.6,0.21,4.86,-6.33
435,CVCoin,CVCOIN,11999901.45,1.21987,9837033,16092,-0.25,7.53,1.06
436,Dynamic,DYN,11967965.01,2.5129,4762610.931,255462,-3.8,14.95,-10.69
437,Leverj,LEV,11942139.06,0.101127,118090510.6,38309.4,-5.43,5.41,-18.31
438,EarthCoin,EAC,11889472.89,0.00101345,11731681772,25294.3,7.08,23.72,0.43
439,NuBits,USNBT,11864557.42,0.988229,12005878.62,21191400,-0.8,0.02,-2.39
440,Block Array,ARY,11554187.99,0.168845,68430738.22,292502,-0.55,-1.25,-5.43
441,Sequence,SEQ,11494185.61,0.253314,45375248.17,49460.6,-1,10.25,9.56
442,MyWish,WISH,11481254.44,0.609892,18825061.56,104522,23.37,84.12,24.47
443,Autonio,NIO,11370296.27,0.172727,65828135,4030.6,-1,2.76,-13.98
444,Espers,ESP,11302458.58,0.000535703,21098367160,21510,-13.24,0.86,-8.65
445,Publica,PBL,11252597.45,0.605534,18582932.5,53298.6,0.07,13.88,10.92
446,PinkCoin,PINK,11160383.1,0.0292228,381906699.5,69147.7,-1.28,14.81,-4.98
447,RussiaCoin,RC,11130590.66,1.32857,8377872.943,1296.78,-1.03,4.92,-10.72
448,DopeCoin,DOPE,11088471.92,0.0948988,116845228,57386.1,-2.19,10.59,12.14
449,ArtByte,ABY,10933764.65,0.0137959,,98170.8,7.68,20.51,7.64
450,Sphere,SPHR,10915735.81,3.54069,3082940.276,629933,-6.15,14.15,-0.99
451,BitcoinZ,BTCZ,10897913.08,0.00993157,1097300133,160549,-3.51,14.89,62.73
452,Bulwark,BWK,10895573.74,5.03318,2164749.47,118608,-0.91,13.07,28.56
453,DCORP,DRP,10687401.8,1.32041,8094002.47,47745.5,-1.42,0.2,39.89
454,Elite,1337,10586606.67,0.000420436,25180067046,18313.9,-0.44,11.89,33.2
455,Payfair,PFR,10513826.59,0.138212,76070287.59,2172.7,-0.57,21.44,8.78
456,Hawala.Today,HAT,10487071.37,7.23168,1450157,51240.4,0.09,2.22,-31.41
457,Curecoin,CURE,10482631.72,0.439602,23845732.55,69011,0.41,5.76,-1.38
458,Dovu,DOVU,10417692.95,0.163304,63793250.34,23696.9,-1.21,-10.08,-33.71
459,Monoeci,XMCC,10331016.96,3.38166,3055013.501,48085.1,0.26,10.99,-9.79
460,Ethorse,HORSE,10302863.1,0.102683,100336600,22592.9,-0.56,14.95,-8.67
461,Spectre.ai Ut...,SXUT,10286835.4,0.434473,23676581.51,4650100,4.04,15.64,-22.77
462,Aigang,AIX,10281840.26,0.575772,17857485.7,192094,7.7,5.75,-25.39
463,ALQO,ALQO,10251304.1,0.944905,10849031.49,183179,-6.45,5.84,-3.05
464,Sprouts,SPRTS,10207912.21,3.77E-06,2.70E+12,19672.6,3.14,20.04,9.78
465,Lampix,PIX,10176797.56,0.0752043,135322017,18766.4,-0.83,10.19,-12.39
466,Iungo,ING,10143600,0.25359,40000000,233002,1.21,-12.08,
467,Astro,ASTRO,9995846.404,3.0164,3313833.18,1582.72,-0.56,11.3,-10.75
468,Vcash,XVC,9788013.829,0.63603,15389232.94,26997.3,-1.42,15.36,1.06
469,ToaCoin,TOA,9711658.764,0.00729566,1331155614,34309.9,-0.08,17.42,3.89
470,Everus,EVR,9597525.333,0.370031,25937084.55,6776.74,-0.15,48.51,65.23
471,Hush,HUSH,9534420.73,2.99193,3186712.5,101879,2.52,1.93,-6.06
472,Rialto,XRL,9288793.026,0.128024,72555091.43,15130.5,-0.86,-25.65,-41.43
473,HEAT,HEAT,9277165.521,0.288243,,31297.8,-2.13,-12.27,-34.99
474,B2B,B2B,9026964.048,0.545007,16563024.05,166350,1.06,4.39,-15.66
475,Novacoin,NVC,8979264.887,4.53312,1980813.41,24276,-0.21,11.45,4.63
476,TIES Network,TIE,8931794.49,0.225768,39561826.7,109160,-3.77,13.99,-4.18
477,Memetic / Pep...,MEME,8899700.342,0.463163,19215050.3,419299,-1.06,13.27,-2.6
478,Pareto Network,PARETO,8794000,0.04397,200000000,41590.5,-0.2,0.22,-18.79
479,VeriumReserve,VRM,8791640.924,5.90181,1489651.636,93094.1,0.55,18.9,12.22
480,HyperStake,HYP,8693890.934,0.00767322,1133017291,11815.9,1.5,12.39,-1.5
481,Bitmark,BTM,8635408.464,1.06362,8118885,49208.7,-1.04,13.24,-14.5
482,Sumokoin,SUMO,8570971.822,3.03176,2827061.45,101954,-4.02,5.55,-5.83
483,Eroscoin,ERO,8474274.65,0.0453791,186744000,165229,-8.69,9.94,-12.17
484,Atmos,ATMS,8198847.12,0.0816627,100398922.9,20259,-0.99,21.37,5.29
485,GCN Coin,GCN,8164612.551,5.40E-05,1.51E+11,5102.87,8.92,31.96,3
486,Qwark,QWARK,8135816.221,0.161238,50458429.29,62743.5,-0.22,11.17,3
487,AdShares,ADST,8099379.824,0.417944,19379103,44288,-1.59,13.98,0.48
488,Verify,CRED,8015729.055,0.657969,12182533,27805.4,-11.28,5.25,-25.37
489,CHIPS,CHIPS,7922121.361,0.381739,20752716.81,1930.25,0.99,9.92,30.08
490,Dotcoin,DOT,7816035.984,0.0277582,281575750,75879.6,-0.87,1.37,8.28
491,Bitdeal,BDL,7752006.903,0.0441499,175583793,76559.7,-0.8,5.79,-24.54
492,onG.social,ONG,7700778.747,0.563675,13661735.48,42236.8,-0.53,9.72,-16.24
493,EncryptoTel [...,ETT,7652512.229,0.123167,62131189.6,863.626,-1.53,56.02,38.85
494,EuropeCoin,ERC,7652337.391,0.765256,9999709.105,14636,-0.99,11.41,21.19
495,vTorrent,VTR,7629387.604,0.705382,10815965.82,29802.4,-0.86,9.56,52.68
496,Innova,INN,7628399.701,4.26028,1790586.464,69871,-3.99,4.05,-11.56
497,Synergy,SNRG,7543645.292,2.21286,3409002.509,14489.7,2.37,22.33,15.68
498,BitBoost,BBT,7529072.887,0.581397,12949968.59,588.013,-2.87,4.86,37.23
499,FedoraCoin,TIPS,7491492.224,1.69E-05,4.43E+11,4968.61,-1.9,2.2,-18.48
500,Riecoin,RIC,7469161.247,0.180331,41419175,86740.1,-0.86,14.52,-18.35
501,Opus,OPT,7444272.594,0.0531428,140080548.9,18285.9,-0.99,72.01,29.39
502,Pesetacoin,PTC,7429474.96,0.0560035,132660904.4,63387.2,-3.58,14.85,-6.74
503,FLiK,FLIK,7423651.408,0.123473,60123682.17,78390.3,-0.99,11.09,12.63
504,Sharechain,SSS,7399647.076,0.00345129,2144023561,3625.93,-4.62,2.08,-6.06
505,DigiPulse,DGPT,7379997.673,5.2615,1402641.39,17965.5,-1.02,6.83,-2.64
506,Cryptopay,CPAY,7361189.621,0.115333,63825528,8199.82,-0.56,-14.87,-22.22
507,UFO Coin,UFO,7268797.671,0.00204334,3557311887,11623.5,3.47,-9.76,-20.37
508,Devery,EVE,7248282.384,0.11976,60523400,11875.3,0.22,11.61,-14.63
509,Coinlancer,CL,7236419.503,0.102402,70666779,136086,1.6,-11.82,-23.74
510,Bitcoin Plus,XBC,7181964.249,68.3563,105066.6032,14130.5,-1.76,13.85,3.17
511,Breakout Stake,BRX,7166549.439,1.14334,6268082.494,25591.6,-1,14.7,22.51
512,Bismuth,BIS,7102117.126,0.938856,7564650.092,2220,-1.03,,
513,Bitcloud,BTDX,7086170.911,0.381125,18592773.79,12694.8,-0.56,10.09,-1.24
514,Kore,KORE,7051445.176,3.48656,2022464.887,92814.1,0.96,12.2,3.01
515,Bitzeny,ZNY,6964337.416,0.0921032,75614500,35212.1,4.58,25.69,42.18
516,PlusCoin,PLC,6942654.831,0.00134227,5172323624,1916.51,-1.5,168.63,106.55
517,Wild Crypto,WILD,6940512.351,0.284757,24373456.49,17794.1,-9.68,4.87,-54.74
518,CrowdCoin,CRC,6916356.36,6.60588,1047000,150899,-0.67,11.25,-38.08
519,TransferCoin,TX,6911043.458,1.09251,6325840,356837,-2.41,12.02,-18.57
520,Social,SCL,6899162.895,0.412777,16714019.66,22873.7,-2.62,-10.3,0.62
521,ATLANT,ATL,6892910.164,0.521202,13225026.31,50737.3,-0.12,7.45,-4.8
522,CannabisCoin,CANN,6809519.085,0.0881706,77231175.53,90968.4,-1.68,8.42,6.78
523,GoldCoin,GLD,6716390.973,0.164528,40822176,39235.1,-1.65,8.38,-4.48
524,TrezarCoin,TZC,6654240.232,0.0733916,90667600,8525.22,-1.03,9.24,-13.2
525,Magnet,MAG,6613282.969,0.459853,14381297.87,54526.2,3.01,16.88,-23.12
526,Blitzcash,BLITZ,6600002.773,1.59995,4125130.643,9467.22,-1.65,11.73,-9.27
527,Internxt,INXT,6597993.206,10.4795,629609.543,12480.6,-7.38,-5.57,3.52
528,Creditbit,CRB,6572697.755,0.396908,16559751.26,113004,-0.04,7.37,-3.71
529,DAO.Casino,BET,6529516.848,0.0390356,167270820.7,19781.7,-0.56,-14.94,-35.96
530,Breakout,BRK,6465294.091,0.35637,18142082.92,46065,-1.95,12.49,-13.82
531,Social Send,SEND,6399140.268,0.200171,31968368.39,29702.6,-5.1,10.14,-1.18
532,AudioCoin,ADC,6367157.413,0.00747248,852080890.6,9037.83,-2.96,23.7,-2.85
533,HollyWoodCoin,HWC,6279221.706,6.59856,951604.851,196277,-0.99,12.14,-5.66
534,BuzzCoin,BUZZ,6276488.162,0.000354882,17686127112,55970.9,-20.53,-2.62,-18.05
535,Bela,BELA,6257582.289,0.156673,39940400,46086.3,-1.37,16.81,-16.48
536,2GIVE,2GIVE,6207302.091,0.0119517,519365620.9,26457.6,-0.47,6.73,16.85
537,Interstellar ...,HOLD,6107922.167,0.0472969,129140010.6,40030.6,0.32,17.01,8.69
538,TrueFlip,TFL,6102068.02,0.976758,6247267,90131.3,-0.97,5.34,-17.84
539,XGOX,XGOX,5933676.612,0.00433342,1369282602,11283.5,-1.31,9.1,5.59
540,Masternodecoin,MTNC,5923447.059,0.123468,47975565,3543.91,-0.99,9.8,-18.29
541,ExclusiveCoin,EXCL,5889191.819,1.32308,4451123,213451,-1.08,11.78,3.36
542,SpreadCoin,SPR,5857806.633,0.61303,9555497.502,464119,-2.79,30.17,21.38
543,ZrCoin,ZRC,5812103.298,1.52663,,100582,-0.62,10.36,17.04
544,Upfiring,UFR,5708131.802,0.359002,15900000.01,19730,-6.39,8.4,-12.57
545,Vsync,VSX,5682617.131,0.0350427,162162651,14884.8,-0.78,8.41,5.7
546,Karbo,KRB,5648690.804,1.06479,5304981.08,76407.6,-1.54,15.06,-2.58
547,BunnyCoin,BUN,5554843.293,5.41E-05,1.03E+11,1936.45,-1.55,17.84,27.62
548,Rupee,RUP,5480652.349,0.239158,22916450,26121.5,-0.74,6.47,-2.4
549,FlypMe,FYP,5467973.471,0.309999,17638681,10639.8,-5.49,6.84,-22.35
550,Tokes,TKS,5421662.807,3.5539,1525553,9453.49,-3.11,10.38,5.03
551,Creativecoin,CREA,5421389.943,0.404769,13393787.43,7552,-1.3,10.45,7.19
552,MicroMoney,AMM,5396389.552,0.515518,10467897.44,3300740,-1.08,12.47,-4.37
553,Denarius,DNR,5394285.119,2.35112,2294347,41808.4,0.55,35.6,28.64
554,ChainCoin,CHC,5347617.817,0.364294,14679401.3,18514.6,-0.99,12.91,1.73
555,MCAP,MCAP,5256497.04,0.501096,10490000,337027,-1.44,12.94,9.92
556,DNotes,NOTE,5176944.155,0.0393232,131651141.2,3172.54,-8.51,8.6,3.76
557,MagicCoin,MAGE,5173782.388,0.70857,7301723.736,7746.16,-9.34,-10.03,-38.83
558,PutinCoin,PUT,5132967.355,0.0145597,352546230.7,11273.6,-2.58,6.86,1.05
559,Pylon Network,PYLNT,5123441.057,15.0571,340267.4523,8418.99,-0.99,5.23,6.9
560,Bonpay,BON,5086449.982,0.450515,11290301.06,93110.4,-0.82,2.18,-22.85
561,Farad,FRD,5046405.939,0.0372169,135594472.9,1408.82,-1.77,0.18,-20.43
562,Adelphoi,ADL,5042021.493,0.214808,23472224,1834.54,-0.85,68.14,1.63
563,Qvolta,QVT,5034286.628,0.747728,6732778,31930.9,-0.39,2.93,-18.91
564,STRAKS,STAK,5018768.728,3.26362,1537792,39381.8,1.5,20.68,-14.23
565,APX,APX,4983014.697,7.08641,,3063.95,-0.99,10.5,-7.17
566,Tracto,TRCT,4972509.2,0.406534,12231471.91,13149.3,0.09,11.11,7.9
567,Project Decorum,PDC,4707565,0.0941513,50000000,10105.1,-0.93,15.32,1.39
568,TeslaCoin,TES,4696299.913,0.0631513,74365846.99,11751.4,-1.61,-0.82,14.13
569,ProCurrency,PROC,4693978.351,0.0484514,96880138.68,63830.1,1.49,0.07,-36.21
570,Anoncoin,ANC,4672832.421,2.21428,2110316.862,2696.72,-0.99,14.76,18.21
571,TrustPlus,TRUST,4666481.896,0.145434,32086595.26,15257.8,-1.03,13.43,9.15
572,Indorse Token,IND,4623532.81,0.0994133,46508191.67,109260,-0.64,4.45,-12.33
573,IncaKoin,NKA,4612792.151,0.000350449,13162520512,1457.53,-0.92,-4.37,-25.43
574,Privatix,PRIX,4577551.125,3.87053,1182667.781,4630.87,-0.78,-6.34,-7.27
575,Sexcoin,SXC,4561374.878,0.0361991,126007963.7,11735.2,-1.05,13.44,4.69
576,Monkey Project,MONK,4545729.967,10.1892,446132.1759,49339.1,-0.96,12.81,-6.89
577,VIVO,VIVO,4529346.757,3.80471,1190457.816,104804,2.23,9.23,0.02
578,Regalcoin,REC,4506044.866,0.352062,12799009.45,25327.7,-1.21,20.92,-58.58
579,Terracoin,TRC,4498769.542,0.202437,22223059.73,14168.4,-3.21,9.34,-17.69
580,Greencoin,GRE,4451853.701,0.00117707,3782148641,5757.51,-6.6,110.08,33.75
581,Startcoin,START,4421862.587,0.0980897,45079785,69626.6,-0.82,19.15,-5.69
582,Goodomy,GOOD,4382693.58,0.0095828,457350000,1287.96,0.06,6.01,2.76
583,Condensate,RAIN,4364362.669,0.0328303,132937032.8,9810.88,1.91,17.48,26.05
584,WandX,WAND,4301621.74,0.351321,12244134.97,8860.2,-0.56,11.3,-19.95
585,e-Gulden,EFL,4278767.582,0.261819,16342464,151472,0.21,29.21,21.55
586,Altcoin,ALT,4202875.653,34.1211,123175.2685,2843.66,-6.74,2.13,-14.89
587,HunterCoin,HUC,4180473.293,0.196274,21299170,39208.1,-2.62,4.51,1.1
588,EverGreenCoin,EGC,4155260.001,0.311926,13321300.57,14469.2,-1.92,8.83,4.16
589,DraftCoin,DFT,4154545.801,1.48579,2796186.406,138159,-0.07,24.97,-1.61
590,ParkByte,PKB,4093627.785,0.859279,4764026.335,56415.3,-1.98,8.19,12.81
591,FORCE,FOR,4073378.13,0.0364038,111894311.3,4371.24,-1,21.67,0.23
592,Zero,ZER,4034080.019,1.57657,2558770,16489.2,-1.63,16.87,-11.74
593,HEROcoin,PLAY,4029888.281,0.0347801,115867645,2826.1,-15.8,-29.82,-53.29
594,IntenseCoin,ITNS,3915623.759,0.0109006,359211764.4,13187.5,-11.06,-18.13,-40.91
595,Pure,PURE,3900778.266,1.19545,3263020.842,16392.5,2.22,-0.28,1.5
596,Magi,XMG,3886526.606,0.501254,7753607.165,48563.4,-1.03,15.56,0.6
597,Embers,MBRS,3879595,0.0775919,50000000,8929.31,-1.03,17.5,10.24
598,Global Jobcoin,GJC,3785501.024,0.28145,13449994.76,56315.6,-0.09,-49.71,-9.61
599,Zephyr,ZEPH,3668718.4,0.029119,125990535.4,4016.92,-5.74,8.64,-10.37
600,CampusCoin,CMPCO,3666567.027,0.0107389,341428547.4,400697,3.53,24.21,50.14
601,Zeitcoin,ZEIT,3584015.96,9.69E-05,36971182004,5036.94,-1.95,-38,-24.9
602,Yocoin,YOC,3543243.708,0.0320485,110558800.2,20623.1,3.19,12.81,-8.41
603,eBoost,EBST,3530808,0.294234,12000000,119698,-3.01,4.21,11.65
604,BlueCoin,BLU,3436412.984,0.00597966,574683675,2759.98,-0.71,0.89,-0.57
605,Ellaism,ELLA,3431271.321,0.733684,,29596,-4.97,8.2,-7.73
606,FirstCoin,FRST,3400703.372,1.81862,1869936.2,865092,-1.63,-10.17,-18.81
607,Oceanlab,OCL,3387204.15,0.0728431,46500000,12630.2,-4.87,19.43,27.29
608,DigitalPrice,DP,3309671.643,0.179894,18397899,19187.3,-1.82,28,5.54
609,MarteXcoin,MXT,3301581.411,1.14702,2878399.165,5032.15,0.23,-6.11,-37.19
610,CryptoPing,PING,3273112.695,0.328887,9952089,2289.97,-1.06,1.84,-35.01
611,LendConnect,LCT,3230588.442,1.49491,2161058.821,434068,-5.17,48.08,-66.73
